,Number of Bachelor's Degrees,Percent Financial Aid,Average Amount of Aid,Retention Rate,Enrollment,Percent Women,Percent In State,Percent Out of State,Percent Foreign,Percent Unknown,Graduation Rate,Percent Awarded,Total Staff,Instructional Staff,SA Staff,Librarian Staff,Percent Books,Percent Digital,Percent Admitted,Total Price
145,85.0,100.0,6349.0,49.0,846,59.0,34.0,64.0,0.0,2.0,33.0,19.0,171.0,44.0,11.0,21.0,99,0,53.0,16700.0
146,430.0,99.0,24812.0,91.0,2024,61.0,18.0,81.0,1.0,0.0,77.0,68.0,618.0,178.0,15.0,37.0,24,47,77.0,59294.0
147,384.0,100.0,31031.0,87.0,1667,0.0,73.0,22.0,4.0,1.0,76.0,73.0,459.0,144.0,22.0,39.0,41,45,80.0,57809.0
148,339.0,100.0,29849.0,85.0,1485,99.0,31.0,67.0,1.0,0.0,78.0,71.0,439.0,172.0,16.0,25.0,33,37,82.0,57300.0
149,427.0,100.0,29229.0,84.0,1694,54.0,12.0,86.0,2.0,0.0,77.0,73.0,391.0,141.0,18.0,28.0,34,38,83.0,59765.0
150,529.0,100.0,23167.0,83.0,2132,59.0,79.0,21.0,0.0,0.0,71.0,67.0,586.0,149.0,29.0,39.0,36,34,78.0,50133.0
151,373.0,100.0,27804.0,82.0,1676,45.0,74.0,25.0,0.0,0.0,77.0,62.0,403.0,132.0,14.0,26.0,97,0,68.0,50329.0
152,187.0,98.0,27132.0,72.0,704,97.0,73.0,24.0,0.0,3.0,60.0,57.0,180.0,75.0,0.0,5.0,15,73,39.0,46926.0
153,310.0,86.0,31847.0,80.0,1410,73.0,17.0,69.0,12.0,1.0,73.0,76.0,449.0,179.0,15.0,25.0,28,48,56.0,72670.0
154,243.0,60.0,34054.0,92.0,1052,100.0,37.0,58.0,5.0,0.0,88.0,80.0,325.0,108.0,33.0,35.0,29,62,24.0,73756.0
155,638.0,96.0,7781.0,69.0,3380,56.0,64.0,35.0,1.0,0.0,48.0,27.0,458.0,190.0,20.0,30.0,58,2,89.0,32403.0
156,347.0,100.0,31789.0,77.0,1396,53.0,81.0,19.0,0.0,0.0,70.0,53.0,301.0,126.0,1.0,5.0,12,17,84.0,52040.0
157,599.0,60.0,48141.0,91.0,2612,61.0,31.0,57.0,12.0,0.0,86.0,85.0,980.0,320.0,28.0,47.0,71,17,27.0,71730.0
158,616.0,71.0,43796.0,93.0,2502,100.0,12.0,72.0,16.0,0.0,89.0,86.0,1173.0,375.0,103.0,147.0,28,50,31.0,72701.0
159,118.0,100.0,34557.0,92.0,428,66.0,24.0,31.0,45.0,0.0,90.0,86.0,215.0,60.0,3.0,13.0,17,62,39.0,48996.0
160,149.0,100.0,7284.0,81.0,1023,53.0,12.0,84.0,1.0,3.0,31.0,24.0,213.0,63.0,15.0,18.0,15,73,69.0,28261.0
161,330.0,100.0,28070.0,81.0,1434,55.0,90.0,8.0,2.0,0.0,74.0,66.0,415.0,125.0,18.0,25.0,27,57,45.0,55970.0
162,465.0,97.0,9831.0,91.0,2171,100.0,23.0,76.0,1.0,0.0,75.0,73.0,596.0,202.0,21.0,24.0,12,3,39.0,52929.0
163,272.0,100.0,33391.0,72.0,1254,61.0,41.0,54.0,5.0,0.0,59.0,45.0,231.0,101.0,5.0,9.0,34,49,66.0,57676.0
164,573.0,100.0,36583.0,89.0,2441,55.0,36.0,55.0,9.0,0.0,82.0,80.0,750.0,213.0,99.0,122.0,50,36,46.0,70630.0
165,697.0,98.0,32811.0,91.0,3048,57.0,42.0,48.0,9.0,0.0,86.0,85.0,675.0,252.0,40.0,59.0,27,48,50.0,60590.0
166,81.0,98.0,35333.0,91.0,474,48.0,14.0,67.0,19.0,0.0,76.0,70.0,162.0,59.0,0.0,6.0,94,1,67.0,67325.0
167,70.0,97.0,43129.0,74.0,320,44.0,18.0,63.0,18.0,0.0,64.0,42.0,149.0,43.0,0.0,2.0,93,0,58.0,67916.0
168,392.0,95.0,9453.0,82.0,1552,58.0,92.0,7.0,0.0,0.0,80.0,65.0,423.0,160.0,7.0,20.0,46,5,80.0,46140.0
169,30.0,95.0,27755.0,57.0,136,48.0,45.0,35.0,0.0,20.0,44.0,57.0,48.0,17.0,5.0,6.0,34,9,93.0,50900.0
171,93.0,98.0,7220.0,68.0,797,57.0,77.0,22.0,1.0,0.0,29.0,9.0,141.0,46.0,1.0,5.0,42,55,39.0,25092.0
172,603.0,100.0,24951.0,87.0,2535,60.0,64.0,34.0,1.0,0.0,79.0,76.0,617.0,207.0,0.0,16.0,13,24,70.0,61246.0
